Entity,Code,Day,Biweekly cases per million people
Afghanistan,AFG,2020-07-29,38.433
Afghanistan,AFG,2020-07-30,36.952
Afghanistan,AFG,2020-07-31,32.961
Afghanistan,AFG,2020-08-01,35.672
Afghanistan,AFG,2020-08-02,31.003
Afghanistan,AFG,2020-08-03,30.149
Afghanistan,AFG,2020-08-04,28.417
Afghanistan,AFG,2020-08-05,27.664
Afghanistan,AFG,2020-08-06,24.626
Afghanistan,AFG,2020-08-07,23.999
Afghanistan,AFG,2020-08-08,24.576
Afghanistan,AFG,2020-08-09,22.518
Afghanistan,AFG,2020-08-10,19.857
Afghanistan,AFG,2020-08-11,22.618
Afghanistan,AFG,2020-08-12,21.94
Afghanistan,AFG,2020-08-13,22.141
Afghanistan,AFG,2020-08-14,22.317
Afghanistan,AFG,2020-08-15,21.112
Afghanistan,AFG,2020-08-16,22.242
Afghanistan,AFG,2020-08-17,22.242
Afghanistan,AFG,2020-08-18,21.388
Afghanistan,AFG,2020-08-19,19.33
Afghanistan,AFG,2020-08-20,21.664
Afghanistan,AFG,2020-08-21,23.07
Afghanistan,AFG,2020-08-22,22.066
Afghanistan,AFG,2020-08-23,22.568
Afghanistan,AFG,2020-08-24,23.723
Afghanistan,AFG,2020-08-25,20.108
Afghanistan,AFG,2020-08-26,19.279
Afghanistan,AFG,2020-08-27,17.698
Afghanistan,AFG,2020-08-28,17.798
Afghanistan,AFG,2020-08-29,14.861
Afghanistan,AFG,2020-08-30,13.731
Afghanistan,AFG,2020-08-31,14.208
Afghanistan,AFG,2020-09-01,14.987
Afghanistan,AFG,2020-09-02,16.167
Afghanistan,AFG,2020-09-03,13.28
Afghanistan,AFG,2020-09-04,10.845
Afghanistan,AFG,2020-09-05,10.292
Afghanistan,AFG,2020-09-06,11.171
Afghanistan,AFG,2020-09-07,12.426
Afghanistan,AFG,2020-09-08,11.296
Afghanistan,AFG,2020-09-09,10.82
Afghanistan,AFG,2020-09-10,11.121
Afghanistan,AFG,2020-09-11,11.698
Afghanistan,AFG,2020-09-12,12.501
Afghanistan,AFG,2020-09-13,14.384
Afghanistan,AFG,2020-09-14,15.313
Afghanistan,AFG,2020-09-15,15.539
Afghanistan,AFG,2020-09-16,15.363
Afghanistan,AFG,2020-09-17,14.66
